headword,CEFR,definition
all right,A1,괜찮은
all right,A1,괜찮은
allegation,B2,진술
allergic,B1,알레르기가 있는
alliance,B2,동맹
allow,A2,허용하다
allowance,B1,용돈
ally,B2,동맹국
almost,A1,거의
alone,A2,홀로
alone,A1,홀로
along,A1,~을 따라
along,A2,~을 따라
alongside,B2,나란히
aloud,B1,소리 내어
alphabet,B1,알파벳
alphabetical,B2,알파벳순
already,A1,이미
alright,A2,괜찮은
alright,A2,괜찮은
also,A1,또한
altar,B2,제단
alter,B2,바꾸다
alternate,B2,번갈아 하는
alternative,B1,대안
alternative,B1,대안
alternatively,B2,대안적으로
although,A2,하지만
altitude,B2,고도
altogether,B1,전부
aluminum/aluminium,B2,알루미늄/알루미늄
always,A1,언제나
am,A1,~이다
amaze,B2,놀리다
amazed,B1,놀란
amazement,B2,놀람
amazing,B1,놀라운
amazingly,B2,놀랍게도
ambassador,B2,대사
ambiguity,B2,모호
ambiguous,B2,모호한
ambition,A2,큰 뜻
ambitious,B1,거창한
ambulance,B1,구급차
ammonia,B2,암모니아
among,A2,~ 중에
amongst,B2,사이에
amount,B1,양
ample,B2,충분한
amplifier,B2,증폭기
amplify,B2,더욱 상 세히 하다
amuse,B2,쁘게 하다
amused,A2,즐기는
amusement,A2,즐거움
amusing,B1,즐거움
an,A1,안
analogy,B2,유추
analysis,B1,분석
analyst,B2,분석자
analyze/analyse,B1,분석하다/분석하다
ancestor,A2,선조
anchor,B2,닻
anchorage,B2,앵커리지
anchorman,B2,앵커맨
anchorperson,B2,앵커맨
ancient,A2,고대의
and,A1,그리고
angel,A2,천사
anger,B1,화
angle,B1,각도
angrily,A2,노하여
angry,A1,화난
anguish,B2,격통
animal,A1,동물
animate,B2,생기 있게 하다
animated,B1,생기 있는
animation,B1,생기
ankle,A2,발목
anniversary,A2,기념일
announce,B1,발표하다
announcement,B1,발표
annoy,A2,짜증나게 하다
annoyance,B1,성가심
annoyed,B1,짜증이 난
annoying,A2,짜증 나는
annual,B1,연간
annually,B1,매년
anonymous,B2,익명의
another,A1,또 다른
another,A2,또 다른
answer,A1,답변
answer,A1,답변
ant,B1,개미
anti,B1,안티
antiaircraft,B2,대공포
antibacterial,B2,항균
anticancer,B2,항암
anticipate,B2,예상하다
anticipation,B2,예기
antipollution,B2,오염 방지
antique,B2,고대 미술
antique,B1,고대 미술
antistatic,B2,정전기 방지
antivirus,B2,바이러스 백신
antonym,B1,반대말
anxiety,B1,불안
anxious,A2,불안해하는
anxiously,B1,걱정스럽게
any,A1,어느
any,A1,어느
anybody,A1,아무도
anyhow,B1,아무리 해도
anymore,A2,더 이상
anyone,A1,누구나
anything,A1,아무것
anyway,A2,그래도
anywhere,A2,어딘가에
apart,A2,따로
apartment,A2,아파트
ape,B1,원숭이
apologize/apologise,A2,사과하다/사과하다
apology,B1,사과
apostrophe,B2,아포스트로피
apparent,B1,명백한
apparently,A2,보기에
appeal,B1,항소
appeal,B2,항소
appear,A2,나타나다
appearance,A2,모습
appetite,B1,식욕
applaud,B1,박수를 보내다
applause,B1,박수 갈채
apple,A1,사과
applicant,B2,응모자
application,B1,애플리케이션
apply,A2,적용하다
appoint,B1,정하다
appointment,A2,약속
appreciate,A2,고마워하다
appreciation,B1,감사
appreciative,B2,감사하다
approach,B1,접근하다
approach,B2,접근하다
appropriate,A2,적절한
appropriately,B2,적절하게
approval,B1,승인
approve,B1,승인하다
approximate,B2,근사치를 내다
approximately,B1,약
April,A1,4월
apron,A1,앞치마
arch,B2,아치
archaeologist/archeologist,B2,고고학자/고고학자
architect,B1,건축가
architecture,A2,건축학
arctic,B2,북극
are,A1,~이다
area,A2,영역
arena,B2,투기장
argue,A2,다투다
argument,A2,논쟁
arise,B1,생기다
aristocracy,B2,귀족
arithmetic,B1,산수
arm,A1,팔
arm,B1,팔
armchair,A2,안락의자
armed,A2,무장한
armful,B2,한 이름
army,B1,군대
around,A2,약
around,A1,약
arouse,B2,깨우다
arrange,B1,마련하다
arrangement,B1,준비
arrest,B1,체포
arrest,B1,체포
arrival,B1,도착
arrive,A1,도착하다
arrogant,B2,오만한
arrow,B1,화살
art,A1,미술
artery,B2,동맥
article,A1,기사
articulate,B2,명확하게 표현하다
artificial,A2,인공의
artificially,B2,인위적으로
artist,B1,아티스트
artistic,B1,예술적
artistry,B2,예술적 기교
as,A2,~처럼
as,A1,~처럼
ash,B2,금연 건강 증진 협회
ashamed,B1,부끄러운
aside,B1,곁에
ask,A1,묻다
asleep,A2,죽어
aspect,B1,측면
aspiration,B2,포부
aspire,B2,열망하다
aspirin,B1,아스피린
assault,B2,폭행
assemble,B2,모으다
assembly,B2,집회
assert,B2,주장하다
assess,B2,평가하다
assessment,B2,평가
assign,B1,양수인
assignment,B1,과제
assist,B1,돕다
assistance,B1,보조
assistant,A2,어시스턴트
assistant,B1,어시스턴트
associate,B1,연관짓다
association,A2,협회
assume,B1,추정하다
assumption,B2,추정
assurance,B2,보증
assure,B2,확신하다
astonish,B2,놀라게 하다
astonished,B2,놀란
astonishing,B2,놀라운
astonishment,B2,놀람
astronaut,A2,우주 비행사
astronomer,B1,천문학자
astronomy,B2,천문학
at,A1,~에
athlete,A2,운동 선수
athletic,B1,운동의
athletics,B2,체육 실기
Atlantic,B1,거인 아틀라스
atmosphere,B1,대기
atom,A2,원자
atomic,B1,원자
attach,B1,붙이다
attached,B2,첨부된
attachment,B1,부착
attack,A2,공격
attack,A2,공격
attain,B1,달성하다
attainable,B2,이를 수 있는
attainment,B2,달성
attempt,A2,시도
attempt,B1,시도
attend,B1,참석하다
attendance,B2,출석
attention,A2,주목
attentive,B2,친절한
attentively,B2,주의 깊게
attitude,A2,태도
attract,B1,끌어 들이다
attraction,B1,끌어 당김
attractive,A2,매력적인
attractiveness,B2,매력
attribute,B2,기인하다
attribute,B2,기인하다
atypical,B2,전형적인 아닌
aubergine,B2,가지
audience,A2,청중
audio,A2,오디오
audit,B2,심사
audition,B2,오디션
August,A1,팔월
aunt,A1,이모
author,A2,작가
authoritative,B2,권위 있는
authority,B1,권한
authorize/authorise,B2,승인하다/승인하다
automatic,A2,오토매틱
automatically,A2,자동으로
autumn,A1,가을
auxiliary,B1,보조자
availability,B2,유효성
available,B1,사용 가능
avenue,B1,수단
average,A2,평균
average,A2,평균
avoid,A2,피하다
await,B2,기다리다
awake,A1,깨어 있는
award,A2,상
award,B1,상
aware,B1,알고 있는
awareness,B1,의식
away,A1,떨어져 있는
awe,B2,두려움
awesome,B1,엄청난
awful,A2,끔찍한
awkward,B1,어색한
ax/axe,B2,도끼/도끼
axis,B2,중심선
baby,A1,아기
babysit,B1,아기 돌보기
babysitter,B1,구축함
back,A2,뒤쪽에
back,A1,뒤쪽에
back,A1,뒤쪽에
back,B1,뒤쪽에
backache,B1,요통
background,A2,배경
backpack,B1,배낭
backpacker,B1,백패커
backpacking,B1,배낭여행
backup,B2,지원
backward/backwards,B2,뒤로/뒤로
backyard,B2,뒤뜰
bacon,B1,베이컨
bad,A1,나쁜
badge,B2,배지
badly,A2,심하게
badminton,A2,배드민턴
bad-tempered,B2,성격이 나쁜
bag,A1,가방
baggage,B1,수하물
bake,A2,빵 굽기
baker,B1,빵 굽는 사람
bakery,B1,빵집
balance,B1,균형
balance,B2,균형
balanced,B2,균형 잡힌
balcony,A2,발코니
bald,B1,노골적인
balky,B2,불안정한
ball,A1,공
ballad,B2,민요
ballet,B2,발레
balloon,A2,풍선
ballot,B2,투표권
ban,B2,반
ban,B2,반
banana,A1,바나나
band,A1,밴드
bandage,B1,붕대
bang,B1,쾅
bang,B1,쾅
bank,A1,은행
bank,A2,은행
bank account,B1,은행 계좌
banker,B2,은행가
banking,A2,은행업
bankrupt,B2,파산한
bankruptcy,B2,파산
bar,A1,술집
bar,B1,술집
barbecue,A2,야외 파티
barbecue,B1,야외 파티
barber,A2,이발사
barbershop,B2,이발소
bare,B1,없는
bare,B2,없는
barely,B1,간신히
bargain,A2,매매
bargain,B2,매매
bark,B1,짖다
bark,B2,짖다
barley,B2,보리
barman,B1,바텐더
barn,B2,헛간
barometer,B2,기압계
barrel,B1,통
barren,B2,메마른
barrier,B2,장벽
bartender,B2,바텐더
base,A2,베이스
base,B1,베이스
baseball,A1,야구
basement,B1,최하부
basic,A2,기초적인
basically,A2,원래
basin,B1,분지
basis,B1,기초
basket,A2,바구니
basketball,A1,농구
bat,A1,박쥐
bat,B1,박쥐
batch,A2,일괄
bath,A1,욕조
bathe,B1,담그다
bathhouse,B2,목욕탕
bathroom,A1,화장실
battery,A2,배터리
battle,B1,전투
battlefield,B2,싸움터
bay,A2,만
be,A1,BE
beach,A1,해변
beagle,B2,비글
beak,B2,부리
beam,B2,빔
bean,A1,콩
bear,A1,곰
bear,A2,곰
beard,B1,수염
bearing,B2,베어링
beast,B1,짐승
beat,B2,이기다
beat,B1,이기다
beautiful,A1,아름다운
beautifully,B1,아름답게
beautify,B2,멋있게 하다
beauty,A2,아름다움
beaver,B1,비버
because,A1,왜냐하면
because of,B1,때문에
become,A1,~이 되다
bed,A1,침대
bedroom,A1,침실
bedside,B1,머리맡
bee,A1,벌
beef,A1,소고기
been,A2,계속 ~ 이다
beer,A2,맥주
before,A1,~ 전에
before,A2,~ 전에
before,A1,~ 전에
beg,A2,빌다
begin,A1,시작하다
beginner,A2,초보자
beginning,A2,시작
behalf,B1,이익
behave,B1,행동하다
behavior/behaviour,A2,행동/행동
behind,A1,뒤에
behind,A1,뒤에
being,A2,존재
belief,B1,믿음
believe,A1,믿다
bell,A1,벨
bellow,B2,소 우는 소리
belly,A2,배
belong,A2,제자리에 있다
belongings,B2,소지품
beloved,B1,인기 많은
below,A1,아래에
below,A1,아래에
belt,A2,벨트
bench,A2,벤치
bend,B2,만곡부
bend,A2,만곡부
beneath,B1,~ 아래에
beneficial,B2,유익한
benefit,B1,혜택
benefit,B2,혜택
benevolence,B2,자비심
benevolent,B2,자애로운
bent,B1,굽은
berry,B2,말린 씨앗
beside,A1,옆에
besides,A2,게다가
besides,B1,게다가
best,A1,최상의
best,A1,최상의
bestow,B2,두다
bestseller,B2,베스트셀러
bet,B1,내기
betray,B2,무심코 드러내다
better,A1,더 나은
better,A2,더 나은
between,A1,~ 사이
bewilder,B2,어리둥절하게 하다
bewilderment,B2,당황
beyond,A2,그 너머에
bicycle,A1,자전거
bid,B2,매기다
bidding,B2,입찰
big,A1,큰
bike,A1,자전거
bikini,B2,비키니
bilingual,B1,이중 언어
bill,A2,청구서
bill,B1,청구서
billion,B2,10억
bin,B1,큰 상자
bind,B2,묶다
bio,B2,바이오
biochemistry,B1,생화학
biography,B1,전기
biological,B2,생물학적
biology,B1,생물학
biotechnology,B2,생명공학
bird,A1,뜻 검색 실패
birdcage,B2,새장
birth,A1,출생
birthday,A1,생일
birthplace,B2,뜻 검색 실패
biscuit,A1,비스킷
bishop,B1,주교
bit,A2,조금
bite,A2,깨물다
bite,B1,깨물다
bitter,B1,격렬한
bitterly,B2,몹시
bizarre,B2,기괴한
black,A1,뜻 검색 실패
black,A1,검은색
blackboard,A2,칠판
blade,B2,잎
blame,B1,탓하다
blame,A2,뜻 검색 실패
blank,A1,공백
blanket,A2,담요
blast,B2,폭발
blast,B2,폭발
blaze,B2,뜻 검색 실패
blaze,B2,불꽃
bleed,B1,뜻 검색 실패
blend,B2,혼합하다
blend,B1,혼합하다
bless,B1,신을 하다
blessing,B1,축복
blind,B1,눈이 먼
blindly,B2,맹목적으로
blindness,B2,맹목
blink,B2,깜박거리다
block,A1,차단하다
block,B1,뜻 검색 실패
blog,B1,블로그
blogger,B1,뜻 검색 실패
blonde,A2,금발의
blood,A2,피
bloodstream,B2,혈류
bloody,B2,피의
bloody,B2,피의
bloom,A2,꽃
blooming,B2,지독한
blossom,B2,꽃
blow,A2,불다
blow,A1,불다
blue,A1,파란색
blue,A1,파란색
blur,B2,흐림
blurt,B2,뜻 검색 실패
blush,B1,붉히다
blush,B2,붉히다
board,A1,판자
board,B1,판자
board game,A2,보드게임
boast,B1,자랑
boat,A1,보트
body,A1,몸
boil,A2,뜻 검색 실패
boiled,A2,뜻 검색 실패
boiling,B2,비등
bold,B1,용감한
bold,B2,용감한
boldly,B1,대담하게
bolt,B2,볼트
bolt,B2,볼트
bomb,B1,폭탄
bomb,B1,폭탄
bombard,B2,포
bomber,B2,마리화나 담배
bombing,B2,폭격
bond,B1,뜻 검색 실패
bone,A1,뼈
bonus,A2,보너스
bony,B2,뼈가 많은
book,A1,책
book,B1,뜻 검색 실패
bookcase,A2,책장
booking,B1,예약
bookish,B2,뜻 검색 실패
booklet,B2,작은 책자
bookmark,B2,뜻 검색 실패
bookmark,B2,서표
bookshelf,A2,뜻 검색 실패
bookshop,A2,서점
bookstore,A1,서점
boom,B1,팔
boost,B2,후원
boost,B2,후원
boot,B1,신병
booth,B2,뜻 검색 실패
border,B1,뜻 검색 실패
bore,B1,구경
bored,A2,지루한
boredom,B1,뜻 검색 실패
boring,A1,지루한
borrow,A1,빌리다
boss,A2,사장
bossy,B2,송아지
botany,B2,식물학
both,A1,둘 다
both,A1,둘 다
both,A1,둘 다
bother,B1,뜻 검색 실패
bother,A2,신경 쓰다
bothered,B2,귀찮게
bothersome,B2,뜻 검색 실패
bottle,A1,병
bottle,B2,병
bottom,A1,맨 아래
bounce,B2,뜻 검색 실패
bounce,B1,되튐
bound,B1,경계
bourbon,B2,버번
bow,B1,절하다
bow,B2,절하다
bowl,A1,그릇
bowl,B1,그릇
box,A1,상자
boxer,B2,복서
boxing,B1,권투
boy,A1,소년
boyfriend,A1,뜻 검색 실패
bra,A2,브래지어
bracelet,B1,뜻 검색 실패
bracket,B2,까치발
brag,B2,자랑거리
brain,A1,뇌
brainstorm,A2,영감
brainstorming,B1,브레인스토밍
brake,A2,뜻 검색 실패
brake,B2,브레이크
branch,A2,뜻 검색 실패
branch,B1,뜻 검색 실패
brand,A2,뜻 검색 실패
brand-new,B1,아주 새로운
brass,B1,놋쇠
brave,A2,용감한
bravely,B1,뜻 검색 실패
bravery,B2,용감
bread,A1,빵
break,A2,부서지다
break,A1,부서지다
breakable,B2,깨뜨릴 수 있는
breakdown,B2,고장
breakfast,A1,아침
breakthrough,B1,돌파구
breakup,B2,붕괴
breast,B1,가슴
breath,B1,호흡
breathe,A1,뜻 검색 실패
breathless,B1,숨가쁜
breathtaking,B2,아슬 아슬한
breed,B2,새끼를 낳다
breed,B1,새끼를 낳다
breeding,B1,뜻 검색 실패
breeze,A2,미풍
breezy,B2,상쾌한
brewery,B2,뜻 검색 실패
brick,B1,벽돌
bride,A2,신부
bridge,A1,다리
brief,B1,짧은
briefly,B1,간단히
bright,A1,밝은
brightly,B1,밝게
brilliant,A2,멋진
brilliantly,B2,훌륭하게
bring,A1,가져오다
broad,B1,넓은
broadband,B2,광대역
broadcast,B1,뜻 검색 실패
broadcast,B2,방송
broadcaster,B2,방송인
broaden,B2,넓히다
broadly,B2,뜻 검색 실패
broccoli,B1,브로콜리
brochure,B2,브로셔
broken,A1,고장난
bronze,B1,청동
brother,A1,형제
brotherhood,B1,노동 조합
brother-in-law,B2,처남
brown,A1,갈색
brown,A2,갈색
browse,B2,먹다
browser,B2,브라우저
bruise,B2,뜻 검색 실패
brush,A1,브러시
brush,A1,브러시
bubble,B1,거품
bucket,A1,뜻 검색 실패
bud,B2,싹
buddy,B1,친구
budget,B2,예산
budget,A2,예산
bug,A2,벌레
build,A1,짓다
builder,B1,건축업자
building,A1,건물
bulb,A2,구근
bulimia,B2,뜻 검색 실패
bull,B1,황소
bullet,B1,총알
bulletin,B1,회보
bully,B2,괴롭히는 사람
bum,B2,부랑자
bump,B1,충돌
bumper,B2,뜻 검색 실패
bun,B2,혈액 요소 질소
bunch,B1,다발
burden,B1,부담
burden,B2,부담
burdensome,B2,부담스러운
bureau,B1,국
bureaucracy,B2,관료
burger,A1,버거
burglar,B1,강도
burglary,B2,강도
burgle,B2,도둑질하다
burial,B2,매장
burn,A2,불타다
burn,B1,불타다
burning,B1,타고 있는
burst,B1,터지다
bury,A2,묻다
bus,A1,버스
bus station,A2,버스 정류장
bus stop,A2,버스 정류장
bush,A2,부시
business,A1,사업
businessman,A2,실업가
businesswoman,A2,뜻 검색 실패
bust,B1,흉상
bustle,B2,붐비다
bustling,B2,분주한
busy,A1,바쁘다
but,A1,하지만
but,B1,하지만
butcher,B1,푸주한
butcher,B2,푸주한
butter,A1,버터
butterfly,A1,나비
button,A1,단추
buy,A1,구입하다
buyer,B1,사는 사람
buzz,B2,버저 소리
buzz,B2,버저 소리
by,A1,~에 의해
bye,A1,안녕
cab,A2,뜻 검색 실패
cabbage,B1,뜻 검색 실패
cabin,B1,선실
cabinet,B2,내각
cable,B2,케이블
cafe/café,A1,카페/카페
cafeteria,A2,카페테리아
cage,B1,새장
cake,A1,케이크
calculate,B1,믿다
calculation,B1,계산
calculator,B1,계산자
calendar,A2,달력
calf,B1,송아지
call,A1,부르다
call,A2,부르다
caller,B1,방문객
calm,B1,침착한
calmly,B2,고요히
calmness,B1,평온
camel,B1,낙다
camera,A1,카메라
camp,A1,캠프
camp,A2,캠프
campaign,B2,운동
camping,A2,캠핑
campsite,B1,캠프장
campus,A2,교정
can,A1,~할 수 있다
can,A2,~할 수 있다
canal,B1,운하
cancel,B1,취소
cancer,B1,암
candidate,B2,후보자
candle,B1,양초
candy,A1,사탕
cane,B2,지팡이
canned,B1,술취한
cannonball,B2,포탄
canon,B2,정경
canteen,B1,반합
cap,A1,캡
capability,B2,능력
capable,B1,유능한
capacity,B1,용량
capital,A2,수도
capital letter,A2,대문자
capsule,B1,캡슐
captain,A2,선장
caption,B2,표제
captive,B2,포로
capture,B1,포착
capture,B1,포착
car,A1,자동차
car park,A2,주차장
caravan,B2,대상
carbon,B2,탄소
carbon dioxide,B2,이산화탄소
carbon footprint,B2,탄소 발자국
carbon monoxide,B2,일산화탄소
card,A1,카드
cardboard,B2,판지
cardigan,B2,카디건
care,A1,케어
care,B1,케어
career,B1,직업
carefree,B2,평온한
careful,A1,주의 깊은
carefully,A1,주의하여
careless,B1,경솔한
carelessly,B1,마구
carelessness,B1,부주의
caring,B2,배려
carnival,B2,사육제
carpet,B1,양탄자
carpool,B2,카풀
carriage,B1,마차
carrot,A2,당근
carry,A1,나르다
carton,B1,판지 상자
cartoon,A1,만화
carve,B2,새기다
cascade,B2,종속
case,A1,사례
cash,A2,현금
cashpoint,B1,현금 포인트
cassette,A2,카세트
cast,B2,깁스
cast,B2,깁스
castle,A2,성
casual,B1,평상복
casually,B2,우연히
cat,A1,고양이
catalog/catalogue,B2,카탈로그/카탈로그
catalyst,B2,촉매
catastrophe,B2,대단원
catastrophic,B2,재앙적인
catch,A1,잡다
catch,A1,잡다
catchy,B2,틀리기 쉬운
categorization/categorisation,B2,분류/분류
categorize/categorise,B1,분류하다/분류하다
category,B1,범주
catering,B2,케이터링
cathedral,B2,성당
cattle,B1,가축
cause,B2,원인
cause,A2,원인
caution,B1,주의
cautious,B1,조심성 있는
cave,B1,동굴
CD,A1,CD
CD player,A1,CD 플레이어
CD-ROM,B1,CD롬
cease,B2,중지
ceiling,B2,천장
celebrate,A1,축하하다
celebration,A1,축하
celebrity,B1,유명 인사
cell,B1,셀
cellar,B2,지하실
cellist,B2,첼리스트
cello,B2,첼로
cemetery,B2,묘지
cent,A2,센트
center/centre,A2,센터/센터
centigrade,B2,섭씨
centimeter/centimetre,A2,센티미터/센티미터
central,B1,본부
central heating,B1,중앙 난방
century,A2,세기
cereal,A2,시리얼
ceremony,B1,의식
certain,A2,확실한
certainly,A2,틀림없이
certainty,B1,확실성
certificate,B2,자격증
certification,B2,인증
certify,B2,인증하다
chain,A2,체인
chair,A1,의자
chairman,A2,의장
challenge,A2,도전
challenge,B2,도전
challenging,B1,도전적인
champagne,A2,샴페인
champion,B1,챔피언
championship,A2,선수권 대회
chance,A2,가능성
chancellor,B2,장관
change,A1,변화
change,A1,변화
channel,B1,채널
chaos,B1,혼돈
chaotic,B2,혼란스러운
chapter,A2,장
character,A1,성격
characteristic,B2,특성
characteristic,B1,특성
characterize/characterise,B1,특성화하다/특징화하다
charge,B1,요금
charge,B1,요금
chariot,B1,이륜 전차
charity,B1,자선 단체
charm,B1,매력
charming,B2,매력적인
chart,A2,차트
chase,B1,뒤쫓다다
chase,B2,뒤쫓다다
chat,B1,채팅
chat,A2,채팅
chat show,B1,채팅 쇼
cheap,A2,값이 싼
cheat,B2,속이다
check,A1,확인하다
check,A2,확인하다
check-in counter/check-in,B1,체크인 카운터/체크인
check-in desk/check-in,B1,체크인 데스크/체크인
checkout,B1,점검
checkpoint,B2,검문소
cheek,A2,볼
cheeky,B2,건방진
cheer,A2,환호
cheerful,B1,쾌활한
cheerfully,B2,유쾌하게
cheerfulness,B2,쾌활함
cheese,A1,치즈
chef,A2,요리사
chemical,A2,화학적인
chemical,B1,화학적인
chemist,B1,화학자
chemistry,B1,화학
chemotherapy,B2,화학 요법
cheque,A2,확인하다
cherish,B1,아끼다
cherished,B2,소중히 하는
cherry,B2,벚나무
chess,A2,체스
chest,A2,가슴
chest of drawers,B1,서랍장
chew,B2,씹다
chewing gum,B1,껌
chicken,A1,닭
chief,B1,셰프
chief,B2,셰프
child,A1,어린이
childhood,A2,어린 시절
childish,B2,어린애 같은
chili/chilli,A2,고추/고추
chimney,B2,굴뚝
chimpanzee,A2,침팬지
chin,A2,턱
chip,B2,칩
chirp,A2,짹짹
chocolate,A1,초콜릿
choice,A2,선택
choir,B1,성가대
choke,B1,초크
choose,A1,선택하다
chop,B2,촙
Christian,B1,신자
chronological,B1,연대순
chuckle,B1,킬킬 웃음
chunk,B2,큰 덩어리
church,A1,교회
cigarette,A2,담배
cinema,A1,영화
circle,A1,원
circle,B1,원
circuit,B2,회로
circuitry,B2,회로
circular,B1,회보
circumstance,B2,상황
circus,B1,서커스
citizen,A2,시민
citizenship,B1,시민권
city,A1,도시
citywide,B2,도시 전체
civil,B1,예의 바른
civilization/civilisation,B1,문명/문명
claim,B1,주장하다
claim,A2,주장하다
clam,B2,대합
clap,B2,박수
clarify,B2,밝히다
class,A1,수업
classic,A2,권위 있는
classic,B2,권위 있는
classical,B1,고전
classical music,A2,고전 음악
classification,B2,분류
classify,B1,나누다
classmate,A1,동급생
classroom,A1,교실
clause,B2,절
clean,A1,깨끗한
clean,A1,깨끗한
cleaner,A2,청소기
clear,A2,분명한
clear,B1,분명한
clearly,A2,분명히
clearness,B2,명료도
clerical,B2,목사
clerk,A2,사무원
clever,A1,영리한
click,B1,딸깍 하는 소리
click,A2,딸깍 하는 소리
client,B2,고객
cliff,B1,낭떠러지
climate,B1,기후
climate change,B2,기후 변화
climb,A1,오르다
climb,A2,오르다
climber,B1,등산가
climbing,A2,등산
clinic,B1,진료소
clip,B1,클립
clock,A1,시계
clog,B2,나막신
clone,A2,클론
close,A1,닫다
close,A1,닫다
closed,A1,닫은
closely,B1,면밀히
closure,B2,폐쇄
cloth,A1,옷감
clothes,A1,옷
clothing,B2,의류
cloud,A1,구름
cloudy,A1,흐린
clown,A2,시골뜨기
club,A1,클럽
clue,A2,단서
clumsy,B2,어설픈
coach,A1,코치
coach,B2,코치
coaching,B2,코칭
coal,B1,석탄
coalition,B2,연합
coarse,B2,조잡한
